product_name,product_price,product_ram,product_display,product_camera,product_warranty,bettary,processor
"REDMI 10 (Midnight Black, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","16,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,1 Year Warranty Provided by the Manufacturer from Date of Purchase,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 750G Processor
"REDMI A1+ (Light Blue, 32 GB)","6,999",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor
"MOTOROLA g72 (Polar Blue, 128 GB)","16,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.64 cm (6.55 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,1 Year on Handset and 6 Months on Accessories,5000 mAh Lithium Battery,Mediatek Helio G99 Processor
Nokia 150 DS 2020,"2,499",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,1020 mAh Lithium-ion Battery,MediaTek Processor
"Infinix Hot 20 5G (Blaster Green, 128 GB)","13,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + AI Lens | 8MP Front Camera,1 Year on Handset and 6 Months on Accessories,5000 mAh Li-ion Polymer Battery,Dimensity 810 Processor
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","10,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,1 Year Warranty Provided By the Manufacturer from Date of Purchase,6000 mAh Lithium Ion Battery,Exynos 850 Processor
"MOTOROLA G40 Fusion (Frosted Champagne, 64 GB)","10,999",4 GB RAM | 64 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 8MP + 2MP | 16MP Front Camera,120Hz Refresh Rate,6000 mAh Battery,Qualcomm Snapdragon 732G Processor
"REDMI 10 Power (Power Black, 128 GB)","12,066",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,,6000 mAh Battery,12 Months Warranty
"Google Pixel 6a (Charcoal, 128 GB)","29,999",6 GB RAM | 128 GB ROM,15.6 cm (6.14 inch) Full HD+ Display,12.2MP + 12MP | 8MP Front Camera,1 Year Brand Warranty,4410 mAh Battery,Google Tensor Processor
"Google Pixel 6a (Chalk, 128 GB)","29,999",6 GB RAM | 128 GB ROM,15.6 cm (6.14 inch) Full HD+ Display,12.2MP + 12MP | 8MP Front Camera,1 Year Brand Warranty,4410 mAh Battery,Google Tensor Processor
